time,ia,ib,ic,va,vb,vc,theta_e,vn,legRdsA,legRdsB,legRdsC,VinvA,VinvB,VinvC
0.0,0.5621043883622863,-0.5621043977870585,9.424772163592026e-09,23.99437895611638,0.005621043977870584,11.5287613918204,0.0,11.842920463971549,0.01,0.01,50000000.0,24.0,0.0,12.0
5e-05,1.1103153399310521,-1.1103153494582114,9.52715898120026e-09,23.98889684660069,0.011103153494582114,11.523642050939987,0.006283185307179587,11.841214017011753,0.01,0.01,50000000.0,24.0,0.0,12.0
0.0001,1.6449792269830414,-1.6449792366122054,9.629164089680587e-09,23.98355020773017,0.01644979236612205,11.51854179551597,0.012566370614359173,11.839513931870751,0.01,0.01,50000000.0,24.0,0.0,12.0
0.00015000000000000001,2.166433810131104,-2.1664338198618935,9.730789055246766e-09,23.97833566189869,0.02166433819861894,11.513460547237662,0.01884955592153876,11.837820182444993,0.01,0.01,50000000.0,24.0,0.0,12.0
0.0002,2.6750084478804923,-2.6750084577125226,9.832029865923048e-09,23.973249915521194,0.026750084577125226,11.508398506703848,0.025132741228718346,11.836132835600726,0.01,0.01,50000000.0,24.0,0.0,12.0
0.00025,3.1710243055195693,-3.171024315452452,9.932882524895565e-09,23.968289756944806,0.03171024315452452,11.503355873755222,0.031415926535897934,11.834451957951513,0.01,0.01,50000000.0,24.0,0.0,12.0
0.00030000000000000003,3.6547945588163997,-3.6547945688497427,1.0033343050673446e-08,23.963452054411835,0.03654794568849743,11.498332847466328,0.03769911184307752,11.832777615855555,0.01,0.01,50000000.0,24.0,0.0,12.0
0.00035,4.1266245926503755,-4.126624602783783,1.0133407477247689e-08,23.958733754073496,0.04126624602783783,11.493329626137616,0.0439822971502571,11.831109875412983,0.01,0.01,50000000.0,24.0,0.0,12.0
0.0004,4.586812194704815,-4.586812204937885,1.023307185424593e-08,23.95413187805295,0.04586812204937886,11.488346407287704,0.050265482457436686,11.829448802463343,0.01,0.01,50000000.0,24.0,0.0,12.0
0.00045000000000000004,5.035647744343359,-5.035647754675692,1.0332332247088743e-08,23.949643522556567,0.05035647754675692,11.483383387645564,0.05654866776461627,11.827794462582974,0.01,0.01,50000000.0,24.0,0.0,12.0
